,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
746,The Quick and the Dead,18552460,18552460,,32000000,Feb 10 1995,R,,Sony Pictures,Original Screenplay,Western,Historical Fiction,Sam Raimi,56,6.3,27352
747,Quigley Down Under,21413105,21413105,,20000000,Oct 19 1990,,,MGM,Original Screenplay,Western,Historical Fiction,Simon Wincer,60,6.5,6001
748,La Guerre du feu,20959585,20959585,,12500000,Feb 12 1982,,,20th Century Fox,Based on Book/Short Story,Adventure,Historical Fiction,Jean-Jacques Annaud,,7.4,6198
749,Quo Vadis?,30000000,30000000,,8250000,Feb 23 1951,,,,,,,,88,5.8,898
750,Rang De Basanti,2197694,29197694,,5300000,Jan 27 2006,Not Rated,,UTV Communications,Original Screenplay,Drama,Contemporary Fiction,,,8.1,12116
751,Robin and Marian,8000000,8000000,,5000000,Mar 11 1976,,,,,,,,68,6.5,4800
752,Ransom,136492681,308700000,,70000000,Nov 08 1996,R,121,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Ron Howard,70,6.6,38524
753,Rosemary's Baby,33395426,33395426,,3200000,Jun 12 1968,,,,,,,Roman Polanski,98,8.1,50860
754,Rebecca,6000000,6000000,,1288000,Dec 31 1939,,,MGM,Based on Book/Short Story,Drama,,Alfred Hitchcock,100,8.4,35429
755,Robin Hood: Prince of Thieves,165493908,390500000,,50000000,Jun 14 1991,PG-13,,Warner Bros.,Traditional/Legend/Fairytale,Adventure,Historical Fiction,Kevin Reynolds,56,6.7,54480
756,Rumble in the Bronx,32281907,36238752,,7500000,Feb 23 1996,R,100,New Line,Original Screenplay,Action,Contemporary Fiction,,,,
757,Rob Roy,31390587,31390587,,28000000,Apr 07 1995,R,,MGM,Based on Real Life Events,Drama,Dramatization,Michael Caton-Jones,71,6.8,15630
758,Raging Bull,23380203,23380203,,18000000,Nov 14 1980,Not Rated,,MGM,Based on Real Life Events,Drama,Dramatization,Martin Scorsese,98,8.4,90015
759,Richard III,2684904,4204857,,9200000,Dec 29 1995,R,,MGM,Based on Play,Drama,Historical Fiction,,95,7.5,6625
760,Raising Cain,21171695,21171695,,11000000,Aug 07 1992,,,Universal,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,53,5.7,5135
761,RoboCop,53424681,53424681,,13000000,Jul 17 1987,,,Orion Pictures,Original Screenplay,Action,Science Fiction,Paul Verhoeven,88,7.6,52898
762,RoboCop 3,10696210,10696210,,22000000,Nov 05 1993,,,Orion Pictures,Original Screenplay,Action,Science Fiction,,,3.4,13310
763,Ri¢hie Ri¢h,38087756,38087756,,40000000,Dec 21 1994,PG,,Warner Bros.,Original Screenplay,Comedy,Contemporary Fiction,Donald Petrie,25,4.7,12687
764,Radio Days,14792779,14792779,,16000000,Jan 30 1987,,,Orion Pictures,Original Screenplay,Comedy,Historical Fiction,Woody Allen,95,7.5,10839
765,Radio Flyer,4651977,4651977,,35000000,Feb 21 1992,,,Sony Pictures,Original Screenplay,Drama,Historical Fiction,Richard Donner,43,6.5,6210
766,Reservoir Dogs,2832029,2832029,18806836,1200000,Oct 23 1992,R,,Miramax,,,,Quentin Tarantino,96,8.4,212985
767,Raiders of the Lost Ark,245034358,386800358,19608618,20000000,Jun 12 1981,PG,,Paramount Pictures,Original Screenplay,Adventure,Historical Fiction,Steven Spielberg,,8.7,242661
768,Red River,9012000,9012000,,3000000,Dec 31 1947,,,,,,,Howard Hawks,100,7.8,10629
769,Reds,50000000,50000000,,33500000,Dec 04 1981,,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Warren Beatty,94,7.4,8455
770,Le Violon rouge,10019109,10019109,,10000000,Jun 11 1999,R,,Lionsgate,Original Screenplay,Drama,Historical Fiction,,,7.7,14545
771,Red Sonja,6905861,6905861,,17900000,Jun 28 1985,,,MGM,Based on Book/Short Story,Action,Fantasy,Richard Fleischer,20,4.4,11896
772,Star Wars Ep. VI: Return of the Jedi,309205079,572700000,12356425,32500000,May 25 1983,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Richard Marquand,,,
773,The Return,501752,2658490,,15000000,Feb 06 2004,PG-13,,Kino International,,Drama,,,,2.3,236
774,The Rise and Fall of Miss Thang,401,401,,10000,Aug 14 2008,Not Rated,87,Lavender House Films,Original Screenplay,Drama,Contemporary Fiction,,,,
775,Roger & Me,6706368,6706368,,140000,Dec 20 1989,,,Warner Bros.,Based on Real Life Events,Documentary,Factual,Michael Moore,100,7.5,14883
776,The Right Stuff,21500000,21500000,,27000000,Oct 21 1983,,,Warner Bros.,Based on Book/Short Story,Action,Dramatization,Philip Kaufman,97,7.9,24275
777,The Rocky Horror Picture Show,139876417,139876417,,1200000,Sep 26 1975,,,20th Century Fox,,Musical,,,77,7.1,41265
778,Road House,30050028,30050028,,10000000,May 19 1989,,,United Artists,Original Screenplay,Action,Contemporary Fiction,,44,5.8,14085
779,Romeo Is Bleeding,3275585,3275585,,10000000,Feb 04 1994,R,,Gramercy,Original Screenplay,Drama,Contemporary Fiction,,24,6.3,6537
780,Rockaway,0,0,,2000000,Jul 07 2007,R,,Off-Hollywood Distribution,Original Screenplay,Drama,Contemporary Fiction,,,4.2,232
781,Rocky,117235147,225000000,,1000000,Nov 21 1976,,,MGM,,,,John G. Avildsen,,4,84
782,Return of the Living Dead Part II,9205924,9205924,,6200000,Jan 15 1988,,,Lorimar Motion Pictures,,Horror,Fantasy,,,5.1,4661
783,The R.M.,1111615,1111615,,500000,Jan 31 2003,PG,,Halestone,Original Screenplay,Comedy,Contemporary Fiction,,64,5.5,449
784,Renaissance Man,24172899,24172899,,40000000,Jun 03 1994,PG-13,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Penny Marshall,,5.9,7650
785,Rambo: First Blood Part II,150415432,300400000,,44000000,May 22 1985,R,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,George P. Cosmatos,30,5.8,38548
786,Rambo III,53715611,188715611,,58000000,May 25 1988,,,Sony/TriStar,Based on Book/Short Story,Action,Contemporary Fiction,,36,4.9,31551
787,Romeo+Juliet,46338728,147542381,,14500000,Nov 01 1996,PG-13,120,20th Century Fox,Based on Play,Drama,Contemporary Fiction,Baz Luhrmann,,6.5,78
788,Ramanujan,0,0,,20000000,Dec 31 2007,,,,,,,Stephen Fry,,,
789,Rain Man,172825435,412800000,,25000000,Dec 16 1988,,,MGM,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,87,8,106163
790,Rapa Nui,305070,305070,,20000000,Sep 11 1994,,,,,,,Kevin Reynolds,,6.1,2081
791,Roar,2000000,2000000,,17000000,Dec 31 1980,,,,,,,,,5.9,228
792,The Robe,36000000,36000000,,5000000,Sep 16 1953,,,,,,,,38,6.7,2913
793,The Rock,134069511,336069511,,75000000,Jun 07 1996,R,136,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Bay,66,7.2,108324
794,The Remains of the Day,22954968,63954968,,15000000,Nov 05 1993,,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,James Ivory,97,7.9,21736
795,Airplane!,83453539,83453539,,3500000,Jul 04 1980,,,,Original Screenplay,Comedy,,Jerry Zucker,98,7.8,57000
796,Repo Man,2300000,2300000,,1500000,Mar 02 1984,,,Universal,Original Screenplay,Comedy,Science Fiction,,97,6.7,12438
797,Rocket Singh: Salesman of the Year,164649,5348767,,1070000,Dec 11 2009,,,Yash Raj Films,,,,,,7.5,1436
798,Raise the Titanic,7000000,7000000,,40000000,Aug 01 1980,PG,,,,,,,60,3.9,1757
799,Restoration,4100000,4100000,,18000000,Dec 29 1995,R,,Miramax,Based on Book/Short Story,Drama,Historical Fiction,,,6.5,4024
800,The Return of the Living Dead,14237880,14237880,,4000000,Aug 16 1985,,,Orion Pictures,,Horror,Science Fiction,,88,7.1,13621
801,Rejsen til Saturn,0,2783634,,2700000,Sep 26 2008,,,,Original Screenplay,Comedy,Science Fiction,,,5.9,849
802,Return to the Land of Wonders,1338,1338,,5000,Jul 13 2005,Not Rated,,Arab Film Distribution,,Documentary,Factual,,,8.5,35
803,Return to Oz,10618813,10618813,,27000000,Jun 21 1985,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Fantasy,,55,6.7,7491
804,The Running Man,38122000,38122000,,30000000,Nov 13 1987,,,Sony/TriStar,Based on Book/Short Story,Action,Science Fiction,Paul Michael Glaser,63,6.4,36308
805,Run Lola Run,7267324,14533173,,1750000,Jun 18 1999,R,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Tom Tykwer,,6,91
806,Revolution#9,9118,9118,,350000,Nov 15 2002,,,,,Thriller/Suspense,,,,7.3,252
807,The River Wild,46815000,94215000,,45000000,Sep 30 1994,PG-13,,Universal,Original Screenplay,Action,Contemporary Fiction,Curtis Hanson,56,6.2,14285
808,Se7en,100125643,328125643,,30000000,Sep 22 1995,R,,New Line,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,,8.7,278918
809,Safe Men,21210,21210,,1000000,Aug 07 1998,R,,October Films,,,,,58,5.9,1743
810,Secrets & Lies,13417292,13417292,,4500000,Sep 28 1996,R,,October Films,Original Screenplay,Drama,Contemporary Fiction,Mike Leigh,94,7.9,14364
811,Sgt. Bilko,30356589,37956589,,39000000,Mar 29 1996,PG,93,Universal,Based on TV,Comedy,Contemporary Fiction,,33,5.2,9693
812,Sabrina,53458319,87100000,,58000000,Dec 15 1995,PG,,Paramount Pictures,Remake,Romantic Comedy,Contemporary Fiction,Sydney Pollack,61,6,15749
813,Subway,390659,1663296,,2000000,Nov 06 1985,,,Island/Alive,Original Screenplay,Drama,Contemporary Fiction,Luc Besson,86,6.2,5904
814,School Daze,14545844,14545844,,6000000,Feb 12 1988,,,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,58,5.3,2667
815,Scarface,44942821,44942821,15386092,25000000,Dec 09 1983,Not Rated,,Universal,Remake,Drama,Historical Fiction,Brian De Palma,88,8.2,152262
816,Schindler's List,96067179,321200000,,25000000,Dec 15 1993,R,,Universal,Based on Real Life Events,Drama,Dramatization,Steven Spielberg,97,8.9,276283
817,A Streetcar Named Desire,8000000,8000000,,1800000,Sep 18 1951,,,Warner Bros.,Based on Play,,,Elia Kazan,,8.1,33781
818,Shadow Conspiracy,2154540,2154540,,45000000,Jan 31 1997,R,,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,George P. Cosmatos,,4.7,2427
819,Short Cut to Nirvana: Kumbh Mela,381225,439651,,200000,Oct 22 2004,Not Rated,,Mela Films,Based on Real Life Events,Documentary,Factual,,75,6.9,105
820,Spartacus,30000000,60000000,,12000000,Oct 07 1960,,,Universal,Based on Book/Short Story,Action,Dramatization,Stanley Kubrick,96,8,50856
821,Sunday,410919,450349,,450000,Aug 22 1997,,,,,Drama,,,79,6.9,436
822,She Done Him Wrong,2000000,2000000,,200000,Feb 09 2033,,,,,,,,100,6.7,1795
823,"Secret, The",0,0,65505095,3500000,Nov 07 2006,Not Rated,,,,Documentary,,,,,
824,Sea Rex 3D: Journey to a Prehistoric World,0,0,,5000000,Dec 31 1969,,,3D Entertainment,,,,,,,
825,State Fair,3500000,3500000,,4500000,Mar 09 1962,,,,,,,,14,5.7,436
826,Sticky Fingers of Time,18195,20628,,250000,Jan 08 1999,,,Strand,,Thriller/Suspense,,,,,
827,Stargate - The Ark of Truth,0,0,8962832,7000000,Mar 11 2008,,,,Based on TV,Action,Science Fiction,,,,
828,She's Gotta Have It,7137502,7137502,,175000,Aug 08 1986,,,Island,Original Screenplay,Comedy,Contemporary Fiction,Spike Lee,93,6.2,2594
829,Stargate,71565669,196565669,,55000000,Oct 28 1994,PG-13,,MGM,Original Screenplay,Action,Science Fiction,Roland Emmerich,46,6.7,47174
830,The Shadow,31835600,31835600,,40000000,Jul 01 1994,PG-13,,Universal,Based on Comic/Graphic Novel,Action,Super Hero,Russell Mulcahy,34,5.6,9530
831,Show Boat,11000000,11000000,,2300000,Sep 24 1951,,,,,,,,89,6.9,1788
832,Shadowlands,25842377,25842377,,22000000,Dec 29 1993,R,,Savoy,Based on Play,Drama,Dramatization,Sir Richard Attenborough,96,7.4,7689
833,Shanghai Surprise,2315000,2315000,,17000000,Aug 29 1986,,,MGM,,,,,14,2.6,2591
834,Shalako,2620000,2620000,,1455000,Dec 31 1967,,,,,,,,,5.3,1090
835,Sheena,5778353,5778353,,25000000,Aug 17 1984,,,Sony/Columbia,Based on Comic/Graphic Novel,Adventure,Contemporary Fiction,John Guillermin,38,4.3,1598
836,Shine,35811509,35811509,,5500000,Nov 22 1996,PG-13,105,Fine Line,Based on Real Life Events,Drama,Dramatization,Scott Hicks,90,7.6,22439
837,The Shining,44017374,44017374,,19000000,May 23 1980,,,Warner Bros.,Based on Book/Short Story,Horror,Fantasy,Stanley Kubrick,87,8.5,177762
838,Haakon Haakonsen,15024232,15024232,,8500000,Mar 01 1991,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,,,6.4,1125
839,Ishtar,14375181,14375181,,40000000,May 15 1987,,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,,19,3.7,6094
840,Showgirls,20254932,20254932,,40000000,Sep 22 1995,NC-17,,MGM,Original Screenplay,Drama,Contemporary Fiction,Paul Verhoeven,12,4.1,27004
841,The Shawshank Redemption,28241469,28241469,,25000000,Sep 23 1994,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Frank Darabont,88,9.2,519541
842,Silver Bullet,10803211,10803211,,7000000,Oct 11 1985,,,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,50,5.9,6387
843,Side Effects,44701,44701,,200000,Sep 09 2005,R,,Sky Island,Original Screenplay,Romantic Comedy,,,11,,
844,Set It Off,36049108,36049108,,9000000,Nov 06 1996,R,120,New Line,Original Screenplay,Drama,Contemporary Fiction,F. Gary Gray,61,6.3,4570
845,The Silence of the Lambs,130726716,275726716,,20000000,Feb 14 1991,,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Jonathan Demme,96,8.7,244856
846,Silver Medalist,0,0,,2600000,Feb 29 2008,,,,Original Screenplay,Black Comedy,Contemporary Fiction,,,,
847,Silent Trigger,76382,76382,,15000000,Jun 26 1996,,,,,,,Russell Mulcahy,,5.2,1364
848,Thinner,15171475,15171475,,14000000,Oct 25 1996,R,93,Paramount Pictures,Based on Book/Short Story,Horror,Fantasy,,18,5.3,7888
849,Sling Blade,24475416,34175000,,4833610,Nov 20 1996,R,133,Miramax,Based on Short Film,Drama,Contemporary Fiction,,96,8,41785
850,Slacker,1227508,1227508,,23000,Aug 01 1991,,,,,,,Richard Linklater,83,6.9,5907
851,Some Like it Hot,25000000,25000000,,2883848,Mar 29 1959,,,,,,,Billy Wilder,97,8.3,67157
852,The Scarlet Letter,10359006,10359006,,50000000,Oct 13 1995,R,,Walt Disney Pictures,Based on Book/Short Story,Drama,Historical Fiction,Roland Joffe,15,4.6,6155
853,Silmido,298347,30298347,,8500000,Apr 23 2004,Not Rated,,Cinema Service,,Action,,,,7.1,1724
854,Sleeper,18344729,18344729,,2000000,Dec 17 1973,,,MGM,Original Screenplay,Comedy,,Woody Allen,100,7.3,15466
855,Sleepers,53300852,165600852,,44000000,Oct 18 1996,R,105,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Barry Levinson,73,7.3,51874
856,The Slaughter Rule,13134,13134,,500000,Jan 10 2003,R,,,,,,,,6,1136
857,Solomon and Sheba,11000000,11000000,,5000000,Jan 01 1959,,,,,,,King Vidor,,6,915
858,Sur Le Seuil,2013052,2013052,,2500000,Oct 03 2003,Not Rated,,Alliance,Based on Book/Short Story,Drama,Contemporary Fiction,,,6.7,585
859,The Usual Suspects,23341568,23341568,,6000000,Aug 16 1995,R,,Gramercy,Original Screenplay,Drama,Contemporary Fiction,Bryan Singer,87,8.7,266890
860,Silverado,33200000,33200000,,26000000,Jul 10 1985,,,Sony/Columbia,Original Screenplay,Western,Historical Fiction,Lawrence Kasdan,76,7,14243
861,Salvador,1500000,1500000,,4500000,Apr 23 1986,,,Hemdale,Original Screenplay,Drama,,,91,7.5,7797
862,"Sex, Lies, and Videotape",24741667,36741667,,1200000,Aug 04 1989,,,Miramax,,,,Steven Soderbergh,97,,
863,Show Me,0,0,,400000,Nov 04 2005,R,,Wolfe Releasing,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,,5.9,288
864,Simon,4055,4055,,1300000,Apr 07 2006,,,Strand,Original Screenplay,Comedy,Contemporary Fiction,,,8,4873
865,Super Mario Bros.,20844907,20844907,,42000000,May 28 1993,,,Walt Disney Pictures,Based on Game,Action,Fantasy,,,3.8,17281
866,Somewhere in Time,9709597,9709597,,5100000,Oct 03 1980,,,Universal,Based on Book/Short Story,Drama,Fantasy,,63,7,8787
867,Smoke Signals,6719300,7756617,,2000000,Jun 26 1998,PG-13,,Miramax,Based on Book/Short Story,Comedy,Contemporary Fiction,,86,6.9,5058
868,Serial Mom,7881335,7881335,,13000000,Apr 13 1994,R,,Savoy,Original Screenplay,Comedy,Contemporary Fiction,John Waters,61,6.4,10999
869,Sommersturm,95204,95204,,3000000,Mar 17 2006,R,,Regent Releasing,Original Screenplay,Drama,Contemporary Fiction,,,7.6,5251
870,Silent Movie,36145695,36145695,,4400000,Jun 25 1976,,,20th Century Fox,Original Screenplay,Comedy,,Mel Brooks,89,6.4,6248
871,The Santa Clause,144833357,189800000,,22000000,Nov 11 1994,PG,,Walt Disney Pictures,Original Screenplay,Comedy,Kids Fiction,John Pasquin,79,6.1,17773
872,The Singles Ward,1250798,1250798,,500000,Feb 01 2002,PG,,Halestorm Entertainment,Original Screenplay,Comedy,Contemporary Fiction,,50,5.7,736
873,Sense and Sensibility,42993774,134993774,,16500000,Dec 11 1995,PG,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Ang Lee,98,7.7,31279
874,Singin' in the Rain,3600000,3600000,,2540000,Apr 10 1952,,,MGM,,,,Stanley Donen,100,8.4,55352
875,Solitude,6260,6260,,200000,Jan 07 2005,Not Rated,,Indican Pictures,Original Screenplay,Drama,,,,4.8,82
876,The Sound of Music,163214286,286214286,,8200000,Apr 01 1965,,,20th Century Fox,Based on Book/Short Story,Musical,Historical Fiction,Robert Wise,81,6.3,45
877,She's the One,9482579,13795053,,3500000,Aug 23 1996,R,,Fox Searchlight,Original Screenplay,Romantic Comedy,Contemporary Fiction,Edward Burns,60,6,8159
878,Straight out of Brooklyn,2712293,2712293,,450000,Dec 31 1990,,,,,,,,100,5.6,263
879,Spaceballs,38119483,38119483,,22700000,Jun 24 1987,,,MGM,Original Screenplay,Comedy,Science Fiction,Mel Brooks,65,6.9,52434
880,Speed,121248145,283200000,,30000000,Jun 10 1994,R,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,Jan De Bont,90,2.6,4175
881,Species,60054449,113354449,,35000000,Jul 07 1995,R,,MGM,Original Screenplay,Action,Science Fiction,Roger Donaldson,39,5.6,21917
882,Sphinx,2000000,11400000,,10000000,Feb 11 1981,,,Orion Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Franklin J. Schaffner,,4.9,478
883,Spaced Invaders,15000000,15000000,,3000000,Apr 27 1990,,,Walt Disney Pictures,Original Screenplay,Comedy,Science Fiction,Patrick Read Johnson,9,4.8,1464
884,Spellbound,7000000,7000000,,1500000,Dec 31 1944,G,,ThinkFilm,,,,Alfred Hitchcock,87,7.7,14665
885,Splash,62599495,62599495,,8000000,Mar 09 1984,,,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,Ron Howard,91,6.2,21732
886,Superman IV: The Quest for Peace,11227824,11227824,,17000000,Jul 24 1987,,,Warner Bros.,Based on Comic/Graphic Novel,Action,Super Hero,Sidney J. Furie,,3.4,15164
887,Superman II,108185706,108185706,,50000000,Jun 19 1981,,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,,6.7,29512
888,Superman III,59950623,59950623,,39000000,Jun 17 1983,,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,,23,4.7,18070
889,Sparkler,5494,5494,,1000000,Mar 19 1999,R,,Strand,,,,,17,5.5,320
890,Superman,134218018,300200000,,55000000,Dec 15 1978,PG,,Warner Bros.,Based on Comic/Graphic Novel,Adventure,Super Hero,Richard Donner,94,4.9,129
891,The Specialist,57362581,57362581,,45000000,Oct 07 1994,R,,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,,4,4.9,18749
892,The Sorcerer,12000000,12000000,,21600000,Jun 24 1977,,,,,,,William Friedkin,,6.8,563
893,Sisters in Law,33312,33312,,300000,Apr 12 2006,Not Rated,,Women Make Movies,Based on Real Life Events,Documentary,Factual,,,6.7,203
894,Smilla's Sense of Snow,2221994,2221994,,35000000,Feb 28 1997,R,,Fox Searchlight,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,Bille August,53,6.1,7280
895,Assassins,30306268,83306268,,50000000,Oct 06 1995,R,,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,9,5.9,23370
896,Star Trek: The Motion Picture,82258456,139000000,,35000000,Dec 07 1979,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Robert Wise,48,6.2,25454
897,Star Trek III: The Search for Spock,76471046,87000000,,18000000,Jun 01 1984,,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,,6.5,22261
898,Star Trek IV: The Voyage Home,109713132,133000000,,24000000,Nov 26 1986,,,Paramount Pictures,Based on TV,Adventure,Science Fiction,Leonard Nimoy,,7.3,26207
899,Stand by Me,52287414,52287414,,8000000,Aug 08 1986,,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Rob Reiner,94,8.2,90143
900,Stone Cold,9286314,9286314,,25000000,May 17 1991,R,,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,,29,4.6,52
901,The Stewardesses,13500000,25000000,,200000,Jul 25 1969,,,,,,,,,4.3,86
902,Street Fighter,33423000,99423000,,35000000,Dec 23 1994,PG-13,,Universal,Based on Game,Action,Contemporary Fiction,,13,3.3,25407
903,Star Trek II: The Wrath of Khan,79912963,96800000,,12000000,Jun 04 1982,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,,,7.8,36131
904,Steal (Canadian Release),220944,220944,,15000000,Apr 25 2003,Not Rated,,,,,,,,,
905,The Sting,159616327,159616327,,5500000,Dec 25 1973,,,Universal,Original Screenplay,,Historical Fiction,George Roy Hill,91,8.4,65866
906,Stonewall,304602,304602,,2000000,Jul 26 1996,R,99,Strand,Based on Real Life Events,Drama,Dramatization,,,7,741
907,Star Trek V: The Final Frontier,52210049,70200000,,30000000,Jun 09 1989,,,Paramount Pictures,Based on TV,Action,Science Fiction,,,5,20600
908,Star Trek VI: The Undiscovered Country,74888996,96900000,,27000000,Dec 06 1991,,,Paramount Pictures,Based on TV,Action,Science Fiction,,,7.2,23546
909,Star Trek: Generations,75671262,120000000,,38000000,Nov 18 1994,PG,,Paramount Pictures,Based on TV,Adventure,Science Fiction,,,6.5,26465
910,Stripes,85300000,85300000,,10000000,Jun 26 1981,R,,Sony Pictures,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,88,6.8,19618
911,Striptease,32773011,32773011,,50000000,Jun 28 1996,R,115,Sony Pictures,Based on Book/Short Story,Comedy,Contemporary Fiction,Andrew Bergman,12,3.9,18012
912,Star Wars Ep. IV: A New Hope,460998007,797900000,11182540,11000000,May 25 1977,PG,,20th Century Fox,Original Screenplay,Adventure,Science Fiction,George Lucas,,,
913,Saints and Soldiers,1310470,1310470,,780000,Aug 06 2004,PG-13,90,Excel Entertainment,Based on Real Life Events,Drama,Dramatization,Ryan Little,,7,7581
914,Steppin: The Movie,0,0,,1000000,Dec 31 2007,,,Weinstein Co.,Original Screenplay,Comedy,Contemporary Fiction,,,3.3,108
915,Strangers on a Train,7000000,7000000,,1200000,Jul 03 1951,PG,,Warner Bros.,,,,Alfred Hitchcock,98,8.3,34284
916,Sugar Hill,18272447,18272447,,10000000,Feb 25 1994,R,,20th Century Fox,Original Screenplay,Drama,Contemporary Fiction,,22,5.3,1627
917,Stiff Upper Lips,69582,69582,,5700000,Aug 27 1999,,,Cowboy Pictures,,,,,29,6.1,543
918,Shichinin no samurai,271736,271736,,500000,Nov 19 1956,,,Cowboy Pictures,Original Screenplay,Action,Historical Fiction,Akira Kurosawa,,8.8,96698
919,Sweet Charity,8000000,8000000,,20000000,Dec 31 1968,,,,,,,Bob Fosse,,7,1691
920,Sands of Iwo Jima,7800000,7800000,,1000000,Dec 31 1948,,,,,,,,100,7.1,4160
921,The Spy Who Loved Me,46800000,185400000,,14000000,Jul 13 1977,,,MGM,Based on Book/Short Story,Action,Contemporary Fiction,,78,7.1,24938
922,The Swindle,245359,5045359,,10000000,Dec 25 1998,,,New Yorker,,Comedy,,,,5.2,1417
923,Swingers,4505922,6542637,,200000,Oct 18 1996,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Doug Liman,86,6.2,431
924,Snow White and the Seven Dwarfs,184925485,184925485,,1488000,Dec 21 2037,,,Walt Disney Pictures,Traditional/Legend/Fairytale,Musical,Fantasy,,97,7.8,38141
925,The Sweet Hereafter,4306697,4306697,,5000000,Oct 10 1997,R,,Fine Line,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,100,7.8,16280
926,She Wore a Yellow Ribbon,5400000,5400000,,1600000,Dec 31 1948,,,,,,,John Ford,100,7.3,5825
927,Sex with Strangers,247740,247740,,1100000,Feb 22 2002,Not Rated,,,Based on Real Life Events,Documentary,Factual,,39,5,151
928,Spy Hard,26936265,26936265,,18000000,May 24 1996,PG-13,81,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,7,4.7,12682
929,Shi Yue Wei Cheng,0,44195779,,23000000,Dec 18 2009,,,,,,,,,6.9,1795
930,Tango,1687311,1687311,,4500000,Feb 12 1999,PG-13,,Sony Pictures Classics,Original Screenplay,Drama,Historical Fiction,,,6.9,1490
931,The Age of Innocence,32014993,32014993,,34000000,Sep 17 1993,,,Sony/Columbia,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,81,7.1,16000
932,Talk Radio,3468572,3468572,,4000000,Dec 01 1988,,,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Oliver Stone,80,7,5659
933,The Texas Chainsaw Massacre,26572439,26572439,,140000,Oct 18 1974,R,,New Line,,Horror,,Tobe Hooper,90,6.1,39172
934,The Texas Chainsaw Massacre 2,8025872,8025872,,4700000,Aug 22 1986,,,Cannon,Remake,Horror,Contemporary Fiction,Tobe Hooper,43,5.1,7702
935,Timecop,44853581,102053581,,28000000,Sep 16 1994,R,,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,Peter Hyams,47,5.5,16570
936,Tin Cup,53854588,75854588,,45000000,Aug 16 1996,R,105,Warner Bros.,Original Screenplay,Romantic Comedy,Contemporary Fiction,Ron Shelton,69,6.1,17274
937,Torn Curtain,13000000,13000000,,3000000,Jul 16 1966,,,,,,,Alfred Hitchcock,81,6.6,8670
938,To Die For,21284514,27688744,,20000000,Sep 27 1995,R,,Sony Pictures,Based on Book/Short Story,Black Comedy,Contemporary Fiction,Gus Van Sant,87,6.8,18459
939,Terror Train,8000000,8000000,,3500000,Dec 31 1979,,,,,,,Roger Spottiswoode,33,5.5,2479
940,Teen Wolf Too,7888000,7888000,,3000000,Nov 20 1987,,,Atlantic,Original Screenplay,Comedy,Fantasy,,14,2.8,5207
